,ID,POSITION,SKILL,FIELD,POSITION_TYPE,EDUCATION_LEVEL,DURATION,ALLOW_WFH,tags
20,21,BACKENDDEVELOPER,FORTRAN RUST KOTLIN,CS,PT,BMP,1,1,BACKENDDEVELOPER FORTRAN RUST KOTLIN
21,22,PRODUCTMANAGER,PERL RUST,CS,PT,MP,6,1,PRODUCTMANAGER PERL RUST
22,23,REACTJSDEVELOPER,CSS,IT,F,BMP,6,1,REACTJSDEVELOPER CSS
23,24,BACKENDDEVELOPER,JAVA SWIFT FORTRAN,IT,F,B,1,0,BACKENDDEVELOPER JAVA SWIFT FORTRAN
24,25,PYTHONDEVELOPER,FORTRAN DART,CS,F,B,12,1,PYTHONDEVELOPER FORTRAN DART
25,26,PYTHONDEVELOPER,JAVASCRIPT C#,CS,F,D,3,1,PYTHONDEVELOPER JAVASCRIPT C#
26,27,MEANSTACKDEVELOPER,SWIFT JULIA PERL,CS,PT,DB,2,0,MEANSTACKDEVELOPER SWIFT JULIA PERL
27,28,MERNSTACKDEVELOPER,JULIA,CS,PT,BMP,2,0,MERNSTACKDEVELOPER JULIA
28,29,MEANSTACKDEVELOPER,R PYTHON,IT,PT,MP,12,1,MEANSTACKDEVELOPER R PYTHON
29,30,JAVASCRIPTDEVELOPER,RUST,IT,F,BMP,1,1,JAVASCRIPTDEVELOPER RUST
30,31,FULLSTACKDEVELOPER,DART C/C++,CS,FT,DBM,2,0,FULLSTACKDEVELOPER DART C/C++
31,32,MEANSTACKDEVELOPER,PYTHON KOTLIN,IT,F,BM,12,1,MEANSTACKDEVELOPER PYTHON KOTLIN
32,33,MERNSTACKDEVELOPER,R FORTRAN,IT,FT,DBM,6,0,MERNSTACKDEVELOPER R FORTRAN
33,34,DATAANALYST,OBJECTIVE-C,IT,PT,DB,3,0,DATAANALYST OBJECTIVE-C
34,35,FULLSTACKDEVELOPER,PYTHON CSS SWIFT,IT,F,M,1,0,FULLSTACKDEVELOPER PYTHON CSS SWIFT
35,36,MEANSTACKDEVELOPER,R KOTLIN,CS,F,MP,2,1,MEANSTACKDEVELOPER R KOTLIN
36,37,DATASCIENTIST,PYTHON SWIFT,CS,PT,M,2,1,DATASCIENTIST PYTHON SWIFT
37,38,RUBYONRAILSDEVELOPER,PYTHON FORTRAN SQL,CS,PT,DBM,1,0,RUBYONRAILSDEVELOPER PYTHON FORTRAN SQL
38,39,REACTJSDEVELOPER,PERL,CS,FT,DBMP,6,0,REACTJSDEVELOPER PERL
39,40,WEBDEVELOPER,JULIA PHP RUST,IT,PT,D,1,1,WEBDEVELOPER JULIA PHP RUST
40,41,MERNSTACKDEVELOPER,RUST KOTLIN,CS,PT,B,1,1,MERNSTACKDEVELOPER RUST KOTLIN
41,42,MERNSTACKDEVELOPER,JAVA CSS,IT,F,D,6,0,MERNSTACKDEVELOPER JAVA CSS
42,43,PYTHONDEVELOPER,JAVA,CS,F,MP,3,0,PYTHONDEVELOPER JAVA
43,44,FRONTENDDEVELOPER,RUST,CS,FT,M,12,0,FRONTENDDEVELOPER RUST
44,45,BACKENDDEVELOPER,DART JULIA PHP,CS,PT,B,6,1,BACKENDDEVELOPER DART JULIA PHP
45,46,BACKENDDEVELOPER,CSS FORTRAN,IT,F,DB,1,1,BACKENDDEVELOPER CSS FORTRAN
46,47,DATAANALYST,CSS,CS,F,DBM,3,1,DATAANALYST CSS
47,48,FULLSTACKDEVELOPER,HTML FORTRAN,CS,PT,BM,1,0,FULLSTACKDEVELOPER HTML FORTRAN
48,49,MERNSTACKDEVELOPER,C#,CS,PT,B,6,0,MERNSTACKDEVELOPER C#
49,50,RUBYONRAILSDEVELOPER,DART JULIA,IT,PT,BM,12,0,RUBYONRAILSDEVELOPER DART JULIA
50,51,FULLSTACKDEVELOPER,SWIFT R,IT,F,DBM,6,0,FULLSTACKDEVELOPER SWIFT R
51,52,FULLSTACKDEVELOPER,JULIA CSS FORTRAN,CS,F,BM,2,1,FULLSTACKDEVELOPER JULIA CSS FORTRAN
52,53,DATAANALYST,PHP RUBY CSS,CS,FT,P,6,1,DATAANALYST PHP RUBY CSS
53,54,REACTJSDEVELOPER,KOTLIN FORTRAN,IT,F,DBM,1,1,REACTJSDEVELOPER KOTLIN FORTRAN
54,55,DATAANALYST,COBOL,CS,FT,DBMP,1,1,DATAANALYST COBOL
55,56,DATASCIENTIST,FORTRAN PHP CSS,CS,FT,P,1,0,DATASCIENTIST FORTRAN PHP CSS
56,57,DATAANALYST,RUBY,IT,PT,BMP,3,1,DATAANALYST RUBY
57,58,PYTHONDEVELOPER,COBOL OBJECTIVE-C JULIA,IT,PT,B,3,0,PYTHONDEVELOPER COBOL OBJECTIVE-C JULIA
58,59,FRONTENDDEVELOPER,C# HTML JAVASCRIPT,CS,PT,DBM,6,1,FRONTENDDEVELOPER C# HTML JAVASCRIPT
59,60,MERNSTACKDEVELOPER,DART C/C++,CS,FT,DB,3,1,MERNSTACKDEVELOPER DART C/C++
60,61,JAVASCRIPTDEVELOPER,RUBY,IT,PT,B,6,1,JAVASCRIPTDEVELOPER RUBY
61,62,PYTHONDEVELOPER,JULIA KOTLIN RUST,IT,F,MP,12,0,PYTHONDEVELOPER JULIA KOTLIN RUST
62,63,WEBDEVELOPER,KOTLIN DART,IT,FT,B,12,1,WEBDEVELOPER KOTLIN DART
63,64,RUBYONRAILSDEVELOPER,DART OBJECTIVE-C JAVA,CS,FT,B,3,0,RUBYONRAILSDEVELOPER DART OBJECTIVE-C JAVA
64,65,BACKENDDEVELOPER,C#,CS,FT,P,1,0,BACKENDDEVELOPER C#
65,66,JAVASCRIPTDEVELOPER,JAVA COBOL FORTRAN,IT,FT,B,6,0,JAVASCRIPTDEVELOPER JAVA COBOL FORTRAN
66,67,BACKENDDEVELOPER,OBJECTIVE-C,CS,PT,B,2,1,BACKENDDEVELOPER OBJECTIVE-C
67,68,JAVASCRIPTDEVELOPER,FORTRAN,CS,PT,D,1,0,JAVASCRIPTDEVELOPER FORTRAN
68,69,REACTJSDEVELOPER,JAVASCRIPT CSS,IT,F,BMP,6,0,REACTJSDEVELOPER JAVASCRIPT CSS
69,70,MEANSTACKDEVELOPER,C# JULIA,IT,PT,DBMP,3,1,MEANSTACKDEVELOPER C# JULIA
70,71,BACKENDDEVELOPER,PERL PHP FORTRAN,CS,FT,MP,2,1,BACKENDDEVELOPER PERL PHP FORTRAN
71,72,FRONTENDDEVELOPER,C/C++,IT,FT,P,1,1,FRONTENDDEVELOPER C/C++
72,73,FRONTENDDEVELOPER,RUBY SWIFT KOTLIN,IT,FT,P,2,0,FRONTENDDEVELOPER RUBY SWIFT KOTLIN
73,74,MEANSTACKDEVELOPER,RUST CSS,CS,FT,B,12,0,MEANSTACKDEVELOPER RUST CSS
74,75,FRONTENDDEVELOPER,SWIFT RUBY JAVA,IT,FT,M,12,1,FRONTENDDEVELOPER SWIFT RUBY JAVA
75,76,DATASCIENTIST,RUBY,IT,PT,M,3,1,DATASCIENTIST RUBY
76,77,DATASCIENTIST,COBOL,CS,FT,D,3,0,DATASCIENTIST COBOL
77,78,REACTJSDEVELOPER,JAVASCRIPT HTML PERL,CS,FT,DBMP,6,1,REACTJSDEVELOPER JAVASCRIPT HTML PERL
78,79,JAVASCRIPTDEVELOPER,PERL,CS,PT,MP,12,0,JAVASCRIPTDEVELOPER PERL
79,80,BACKENDDEVELOPER,JULIA RUST SWIFT,CS,PT,DBMP,12,1,BACKENDDEVELOPER JULIA RUST SWIFT
80,81,MEANSTACKDEVELOPER,COBOL KOTLIN R,CS,PT,B,2,0,MEANSTACKDEVELOPER COBOL KOTLIN R
81,82,DATASCIENTIST,SWIFT KOTLIN,CS,F,MP,2,1,DATASCIENTIST SWIFT KOTLIN
82,83,PRODUCTMANAGER,SQL,CS,F,D,1,1,PRODUCTMANAGER SQL
83,84,DATASCIENTIST,COBOL DART,IT,F,B,12,1,DATASCIENTIST COBOL DART
84,85,FRONTENDDEVELOPER,DART,IT,PT,P,6,1,FRONTENDDEVELOPER DART
85,86,RUBYONRAILSDEVELOPER,C# PHP,IT,F,BM,1,1,RUBYONRAILSDEVELOPER C# PHP
86,87,DATAANALYST,PHP C/C++,CS,FT,DBM,12,1,DATAANALYST PHP C/C++
87,88,DATASCIENTIST,FORTRAN JAVA JULIA,CS,PT,DB,6,0,DATASCIENTIST FORTRAN JAVA JULIA
88,89,REACTJSDEVELOPER,HTML RUST PHP,IT,PT,MP,1,1,REACTJSDEVELOPER HTML RUST PHP
89,90,WEBDEVELOPER,JAVASCRIPT FORTRAN,IT,FT,BM,6,0,WEBDEVELOPER JAVASCRIPT FORTRAN
90,91,FULLSTACKDEVELOPER,SWIFT JAVA PHP,CS,F,MP,12,0,FULLSTACKDEVELOPER SWIFT JAVA PHP
91,92,FULLSTACKDEVELOPER,RUST,IT,PT,DB,1,1,FULLSTACKDEVELOPER RUST
92,93,REACTJSDEVELOPER,R,CS,F,DBMP,1,0,REACTJSDEVELOPER R
93,94,RUBYONRAILSDEVELOPER,R,IT,F,BM,12,0,RUBYONRAILSDEVELOPER R
94,95,MEANSTACKDEVELOPER,PYTHON SWIFT CSS,IT,FT,BM,12,0,MEANSTACKDEVELOPER PYTHON SWIFT CSS
95,96,RUBYONRAILSDEVELOPER,PERL DART C#,IT,FT,D,2,0,RUBYONRAILSDEVELOPER PERL DART C#
96,97,PRODUCTMANAGER,PERL,IT,FT,BM,2,0,PRODUCTMANAGER PERL
97,98,WEBDEVELOPER,PYTHON DART,CS,PT,P,1,0,WEBDEVELOPER PYTHON DART
98,99,JAVASCRIPTDEVELOPER,JAVA CSS,CS,F,P,3,0,JAVASCRIPTDEVELOPER JAVA CSS
99,100,WEBDEVELOPER,FORTRAN HTML,IT,F,BM,12,0,WEBDEVELOPER FORTRAN HTML
100,101,MEANSTACKDEVELOPER,DART,CS,FT,BMP,2,1,MEANSTACKDEVELOPER DART
101,102,REACTJSDEVELOPER,JAVA JAVASCRIPT R,CS,FT,DBM,3,0,REACTJSDEVELOPER JAVA JAVASCRIPT R
102,103,REACTJSDEVELOPER,SQL,CS,F,MP,2,1,REACTJSDEVELOPER SQL
103,104,PYTHONDEVELOPER,C#,IT,PT,BM,12,0,PYTHONDEVELOPER C#
104,105,WEBDEVELOPER,KOTLIN,CS,PT,D,12,1,WEBDEVELOPER KOTLIN
105,106,REACTJSDEVELOPER,FORTRAN,CS,PT,DBM,2,0,REACTJSDEVELOPER FORTRAN
106,107,MERNSTACKDEVELOPER,C#,IT,PT,BMP,6,0,MERNSTACKDEVELOPER C#
107,108,WEBDEVELOPER,SWIFT PERL,IT,F,D,1,1,WEBDEVELOPER SWIFT PERL
108,109,DATAANALYST,C#,CS,PT,DB,12,1,DATAANALYST C#
109,110,JAVASCRIPTDEVELOPER,PERL RUST FORTRAN,CS,PT,MP,1,1,JAVASCRIPTDEVELOPER PERL RUST FORTRAN
110,111,JAVASCRIPTDEVELOPER,KOTLIN SQL PERL,IT,PT,DBM,6,1,JAVASCRIPTDEVELOPER KOTLIN SQL PERL
111,112,RUBYONRAILSDEVELOPER,R,CS,FT,BM,2,0,RUBYONRAILSDEVELOPER R
112,113,FRONTENDDEVELOPER,DART PERL,IT,PT,BMP,3,1,FRONTENDDEVELOPER DART PERL
113,114,JAVASCRIPTDEVELOPER,HTML SQL,IT,F,BMP,2,0,JAVASCRIPTDEVELOPER HTML SQL
114,115,PRODUCTMANAGER,PHP,IT,PT,DBMP,1,1,PRODUCTMANAGER PHP
115,116,BACKENDDEVELOPER,PYTHON PHP SQL,IT,FT,B,1,1,BACKENDDEVELOPER PYTHON PHP SQL
116,117,DATASCIENTIST,RUST JAVASCRIPT,CS,F,DBM,12,1,DATASCIENTIST RUST JAVASCRIPT
117,118,WEBDEVELOPER,RUST,CS,PT,BMP,3,0,WEBDEVELOPER RUST
118,119,FRONTENDDEVELOPER,R,CS,F,D,12,0,FRONTENDDEVELOPER R
119,120,BACKENDDEVELOPER,COBOL PHP JULIA,CS,FT,DBMP,2,1,BACKENDDEVELOPER COBOL PHP JULIA
120,121,REACTJSDEVELOPER,PERL COBOL,CS,PT,DBMP,6,1,REACTJSDEVELOPER PERL COBOL
121,122,FULLSTACKDEVELOPER,HTML KOTLIN OBJECTIVE-C,IT,PT,BMP,12,1,FULLSTACKDEVELOPER HTML KOTLIN OBJECTIVE-C
122,123,FULLSTACKDEVELOPER,JULIA CSS,IT,F,D,6,1,FULLSTACKDEVELOPER JULIA CSS
123,124,RUBYONRAILSDEVELOPER,PYTHON PERL,CS,PT,M,3,1,RUBYONRAILSDEVELOPER PYTHON PERL
124,125,REACTJSDEVELOPER,C/C++ HTML,CS,F,BMP,6,0,REACTJSDEVELOPER C/C++ HTML
125,126,JAVASCRIPTDEVELOPER,JULIA FORTRAN,IT,PT,M,12,0,JAVASCRIPTDEVELOPER JULIA FORTRAN
126,127,RUBYONRAILSDEVELOPER,FORTRAN,CS,PT,D,12,1,RUBYONRAILSDEVELOPER FORTRAN
127,128,PYTHONDEVELOPER,COBOL CSS,CS,PT,D,1,0,PYTHONDEVELOPER COBOL CSS
128,129,PYTHONDEVELOPER,JULIA RUBY,IT,F,P,1,1,PYTHONDEVELOPER JULIA RUBY
129,130,DATAANALYST,FORTRAN,CS,FT,MP,2,0,DATAANALYST FORTRAN
130,131,WEBDEVELOPER,SQL,CS,F,BM,6,1,WEBDEVELOPER SQL
131,132,FRONTENDDEVELOPER,OBJECTIVE-C,CS,FT,DBMP,6,0,FRONTENDDEVELOPER OBJECTIVE-C
132,133,JAVASCRIPTDEVELOPER,PERL,IT,FT,P,12,1,JAVASCRIPTDEVELOPER PERL
133,134,REACTJSDEVELOPER,SQL RUBY,CS,FT,B,3,1,REACTJSDEVELOPER SQL RUBY
134,135,JAVASCRIPTDEVELOPER,HTML JULIA,CS,F,DB,12,0,JAVASCRIPTDEVELOPER HTML JULIA
135,136,DATAANALYST,C/C++ PYTHON,IT,F,BMP,3,0,DATAANALYST C/C++ PYTHON
136,137,MEANSTACKDEVELOPER,COBOL HTML JULIA,CS,PT,D,3,1,MEANSTACKDEVELOPER COBOL HTML JULIA
137,138,WEBDEVELOPER,SQL COBOL JULIA,IT,F,M,6,1,WEBDEVELOPER SQL COBOL JULIA
138,139,DATASCIENTIST,PERL JAVA,IT,F,BM,3,0,DATASCIENTIST PERL JAVA
139,140,PYTHONDEVELOPER,CSS HTML JAVASCRIPT,CS,PT,D,3,0,PYTHONDEVELOPER CSS HTML JAVASCRIPT
140,141,JAVASCRIPTDEVELOPER,OBJECTIVE-C SWIFT KOTLIN,IT,FT,DBMP,2,1,JAVASCRIPTDEVELOPER OBJECTIVE-C SWIFT KOTLIN
141,142,MEANSTACKDEVELOPER,SWIFT,CS,PT,BMP,6,1,MEANSTACKDEVELOPER SWIFT
142,143,FRONTENDDEVELOPER,CSS C/C++,CS,F,B,1,1,FRONTENDDEVELOPER CSS C/C++
143,144,RUBYONRAILSDEVELOPER,PHP RUBY R,IT,PT,P,6,0,RUBYONRAILSDEVELOPER PHP RUBY R
144,145,WEBDEVELOPER,C/C++ FORTRAN DART,IT,F,M,12,0,WEBDEVELOPER C/C++ FORTRAN DART
145,146,FULLSTACKDEVELOPER,PHP OBJECTIVE-C,CS,PT,M,6,1,FULLSTACKDEVELOPER PHP OBJECTIVE-C
146,147,RUBYONRAILSDEVELOPER,PHP,CS,PT,DBMP,2,0,RUBYONRAILSDEVELOPER PHP
147,148,WEBDEVELOPER,C/C++ PHP C#,CS,FT,D,12,0,WEBDEVELOPER C/C++ PHP C#
148,149,FRONTENDDEVELOPER,DART,IT,F,BMP,3,1,FRONTENDDEVELOPER DART
149,150,MERNSTACKDEVELOPER,JAVASCRIPT CSS R,CS,FT,DB,3,1,MERNSTACKDEVELOPER JAVASCRIPT CSS R
150,151,REACTJSDEVELOPER,HTML,CS,FT,B,3,1,REACTJSDEVELOPER HTML
151,152,PYTHONDEVELOPER,RUST,IT,PT,DB,12,1,PYTHONDEVELOPER RUST
152,153,DATAANALYST,FORTRAN,IT,PT,B,12,1,DATAANALYST FORTRAN
153,154,DATASCIENTIST,PHP SQL FORTRAN,CS,F,BM,6,1,DATASCIENTIST PHP SQL FORTRAN
154,155,PYTHONDEVELOPER,KOTLIN HTML,IT,PT,DBM,12,0,PYTHONDEVELOPER KOTLIN HTML
155,156,WEBDEVELOPER,DART FORTRAN PYTHON,CS,F,P,3,1,WEBDEVELOPER DART FORTRAN PYTHON
156,157,RUBYONRAILSDEVELOPER,RUBY SQL KOTLIN,IT,FT,M,3,1,RUBYONRAILSDEVELOPER RUBY SQL KOTLIN
157,158,MERNSTACKDEVELOPER,KOTLIN,IT,FT,P,12,0,MERNSTACKDEVELOPER KOTLIN
158,159,JAVASCRIPTDEVELOPER,DART,CS,PT,D,6,1,JAVASCRIPTDEVELOPER DART
159,160,WEBDEVELOPER,R KOTLIN,IT,F,DB,3,1,WEBDEVELOPER R KOTLIN
160,161,JAVASCRIPTDEVELOPER,PYTHON OBJECTIVE-C KOTLIN,CS,FT,B,12,0,JAVASCRIPTDEVELOPER PYTHON OBJECTIVE-C KOTLIN
161,162,FRONTENDDEVELOPER,FORTRAN JAVA,IT,PT,DB,6,1,FRONTENDDEVELOPER FORTRAN JAVA
162,163,FRONTENDDEVELOPER,C/C++,CS,F,P,6,0,FRONTENDDEVELOPER C/C++
163,164,MEANSTACKDEVELOPER,C#,CS,FT,DBM,1,1,MEANSTACKDEVELOPER C#
164,165,REACTJSDEVELOPER,CSS,CS,F,B,2,1,REACTJSDEVELOPER CSS
165,166,MERNSTACKDEVELOPER,CSS C/C++ JAVA,IT,FT,BM,3,0,MERNSTACKDEVELOPER CSS C/C++ JAVA
166,167,PYTHONDEVELOPER,SQL FORTRAN,IT,F,DBMP,6,1,PYTHONDEVELOPER SQL FORTRAN
167,168,REACTJSDEVELOPER,PYTHON HTML C#,IT,PT,M,12,0,REACTJSDEVELOPER PYTHON HTML C#
168,169,RUBYONRAILSDEVELOPER,COBOL,CS,FT,M,2,1,RUBYONRAILSDEVELOPER COBOL
169,170,DATASCIENTIST,JULIA,CS,PT,DB,12,1,DATASCIENTIST JULIA
170,171,PRODUCTMANAGER,JAVASCRIPT RUBY SQL,IT,F,M,6,0,PRODUCTMANAGER JAVASCRIPT RUBY SQL
171,172,MERNSTACKDEVELOPER,RUBY DART JAVA,IT,FT,BM,1,1,MERNSTACKDEVELOPER RUBY DART JAVA
172,173,RUBYONRAILSDEVELOPER,PYTHON COBOL OBJECTIVE-C,CS,PT,DBM,3,1,RUBYONRAILSDEVELOPER PYTHON COBOL OBJECTIVE-C
173,174,JAVASCRIPTDEVELOPER,R PYTHON,CS,F,BMP,1,1,JAVASCRIPTDEVELOPER R PYTHON
174,175,JAVASCRIPTDEVELOPER,COBOL HTML KOTLIN,IT,PT,BMP,1,1,JAVASCRIPTDEVELOPER COBOL HTML KOTLIN
175,176,FRONTENDDEVELOPER,C#,IT,PT,M,3,1,FRONTENDDEVELOPER C#
176,177,DATAANALYST,HTML,CS,PT,B,1,0,DATAANALYST HTML
177,178,RUBYONRAILSDEVELOPER,R,CS,FT,DBM,1,1,RUBYONRAILSDEVELOPER R
178,179,RUBYONRAILSDEVELOPER,HTML C# COBOL,CS,FT,BMP,6,0,RUBYONRAILSDEVELOPER HTML C# COBOL
179,180,MEANSTACKDEVELOPER,C/C++,CS,PT,BM,1,1,MEANSTACKDEVELOPER C/C++
180,181,FRONTENDDEVELOPER,C/C++,IT,F,MP,6,0,FRONTENDDEVELOPER C/C++
181,182,WEBDEVELOPER,FORTRAN JAVASCRIPT,IT,F,BMP,6,0,WEBDEVELOPER FORTRAN JAVASCRIPT
182,183,DATAANALYST,RUST PERL OBJECTIVE-C,IT,PT,BMP,2,1,DATAANALYST RUST PERL OBJECTIVE-C
183,184,PYTHONDEVELOPER,JAVASCRIPT C# KOTLIN,CS,FT,DB,1,1,PYTHONDEVELOPER JAVASCRIPT C# KOTLIN
184,185,BACKENDDEVELOPER,PYTHON KOTLIN PHP,CS,FT,BMP,1,1,BACKENDDEVELOPER PYTHON KOTLIN PHP
185,186,PRODUCTMANAGER,SWIFT C/C++ HTML,IT,PT,M,6,0,PRODUCTMANAGER SWIFT C/C++ HTML
186,187,BACKENDDEVELOPER,PERL,IT,FT,MP,2,0,BACKENDDEVELOPER PERL
187,188,MEANSTACKDEVELOPER,R PYTHON SQL,CS,PT,DB,12,0,MEANSTACKDEVELOPER R PYTHON SQL
188,189,REACTJSDEVELOPER,C/C++ HTML CSS,IT,PT,M,1,0,REACTJSDEVELOPER C/C++ HTML CSS
189,190,FRONTENDDEVELOPER,HTML,IT,FT,DBM,3,1,FRONTENDDEVELOPER HTML
190,191,BACKENDDEVELOPER,PHP,CS,PT,DBMP,2,0,BACKENDDEVELOPER PHP
191,192,MERNSTACKDEVELOPER,SWIFT,CS,F,BM,1,0,MERNSTACKDEVELOPER SWIFT
192,193,MERNSTACKDEVELOPER,PERL,CS,FT,DBM,1,0,MERNSTACKDEVELOPER PERL
193,194,DATAANALYST,R,IT,PT,B,12,1,DATAANALYST R
194,195,REACTJSDEVELOPER,C# PERL OBJECTIVE-C,IT,F,BMP,6,1,REACTJSDEVELOPER C# PERL OBJECTIVE-C
195,196,MEANSTACKDEVELOPER,SWIFT DART,IT,PT,BM,6,0,MEANSTACKDEVELOPER SWIFT DART
196,197,PYTHONDEVELOPER,SQL FORTRAN,CS,FT,P,3,1,PYTHONDEVELOPER SQL FORTRAN
197,198,FRONTENDDEVELOPER,PHP RUBY OBJECTIVE-C,IT,FT,DB,3,1,FRONTENDDEVELOPER PHP RUBY OBJECTIVE-C
198,199,REACTJSDEVELOPER,C#,IT,F,M,1,0,REACTJSDEVELOPER C#
199,200,DATAANALYST,DART,CS,FT,M,12,1,DATAANALYST DART
200,201,FRONTENDDEVELOPER,FORTRAN C# PHP,IT,FT,M,3,1,FRONTENDDEVELOPER FORTRAN C# PHP
201,202,PYTHONDEVELOPER,CSS,CS,PT,M,2,0,PYTHONDEVELOPER CSS
202,203,JAVASCRIPTDEVELOPER,SWIFT,CS,PT,MP,6,1,JAVASCRIPTDEVELOPER SWIFT
203,204,WEBDEVELOPER,PERL PHP JULIA,CS,PT,DBMP,3,1,WEBDEVELOPER PERL PHP JULIA
204,205,BACKENDDEVELOPER,HTML JAVASCRIPT,CS,FT,DBMP,6,0,BACKENDDEVELOPER HTML JAVASCRIPT
205,206,REACTJSDEVELOPER,RUST,CS,FT,MP,6,1,REACTJSDEVELOPER RUST
206,207,DATAANALYST,HTML R,CS,F,D,12,0,DATAANALYST HTML R
207,208,FULLSTACKDEVELOPER,OBJECTIVE-C FORTRAN JAVASCRIPT,IT,F,D,3,1,FULLSTACKDEVELOPER OBJECTIVE-C FORTRAN JAVASCRIPT
208,209,DATASCIENTIST,RUBY FORTRAN JAVASCRIPT,IT,FT,DBM,2,0,DATASCIENTIST RUBY FORTRAN JAVASCRIPT
209,210,BACKENDDEVELOPER,OBJECTIVE-C,CS,PT,DBM,12,1,BACKENDDEVELOPER OBJECTIVE-C
210,211,JAVASCRIPTDEVELOPER,SWIFT,CS,FT,BM,1,0,JAVASCRIPTDEVELOPER SWIFT
211,212,WEBDEVELOPER,JULIA COBOL,IT,FT,DBMP,2,0,WEBDEVELOPER JULIA COBOL
212,213,JAVASCRIPTDEVELOPER,PYTHON CSS C/C++,CS,FT,D,2,0,JAVASCRIPTDEVELOPER PYTHON CSS C/C++
213,214,REACTJSDEVELOPER,RUBY DART FORTRAN,IT,FT,DBM,12,0,REACTJSDEVELOPER RUBY DART FORTRAN
214,215,WEBDEVELOPER,CSS JULIA,CS,F,M,12,0,WEBDEVELOPER CSS JULIA
215,216,FRONTENDDEVELOPER,PERL C/C++,IT,FT,B,1,1,FRONTENDDEVELOPER PERL C/C++
216,217,RUBYONRAILSDEVELOPER,C#,CS,F,DB,6,0,RUBYONRAILSDEVELOPER C#
217,218,FULLSTACKDEVELOPER,R HTML,IT,FT,B,2,1,FULLSTACKDEVELOPER R HTML
218,219,WEBDEVELOPER,C/C++ CSS,CS,FT,B,6,1,WEBDEVELOPER C/C++ CSS
219,220,MEANSTACKDEVELOPER,C# OBJECTIVE-C FORTRAN,CS,FT,MP,2,0,MEANSTACKDEVELOPER C# OBJECTIVE-C FORTRAN
220,221,RUBYONRAILSDEVELOPER,OBJECTIVE-C,IT,F,DBMP,2,1,RUBYONRAILSDEVELOPER OBJECTIVE-C
221,222,DATASCIENTIST,DART JAVASCRIPT,IT,PT,D,1,0,DATASCIENTIST DART JAVASCRIPT
222,223,PRODUCTMANAGER,JAVA CSS C/C++,CS,F,P,6,0,PRODUCTMANAGER JAVA CSS C/C++
223,224,BACKENDDEVELOPER,DART KOTLIN JULIA,CS,FT,D,6,1,BACKENDDEVELOPER DART KOTLIN JULIA
224,225,FULLSTACKDEVELOPER,RUBY JAVASCRIPT,IT,F,BMP,3,0,FULLSTACKDEVELOPER RUBY JAVASCRIPT
225,226,FRONTENDDEVELOPER,JULIA COBOL R,CS,PT,D,1,1,FRONTENDDEVELOPER JULIA COBOL R
