ID,SKILL,FIELD,EDUCATION_LEVEL,EXPERIENCE,ALLOW_WFH
49,"PHP,FORTRAN",IT,B,RUBY ON RAILS DEVELOPER,1
50,R,IT,BMP,DATA ANALYST,0
51,DART,CS,BM,DATA ANALYST,0
52,"RUST,DART",IT,DB,"PYTHON DEVELOPER,WEB DEVELOPER",0
53,"COBOL,PHP",CS,DBMP,FRONTEND DEVELOPER,1
54,JAVA,IT,BMP,FRONTEND DEVELOPER,0
55,"PYTHON,RUBY",CS,BM,"WEB DEVELOPER,BACKEND DEVELOPER",0
56,"JAVASCRIPT,HTML",CS,DBMP,FRONTEND DEVELOPER,0
57,OBJECTIVE-C,IT,DBM,DATA ANALYST,1
58,C#,CS,DBMP,,0
59,"KOTLIN,RUBY",CS,B,"JAVASCRIPT DEVELOPER,WEB DEVELOPER",0
60,"KOTLIN,OBJECTIVE-C,RUBY",IT,DBM,"PRODUCT MANAGER,BACKEND DEVELOPER",0
61,JAVASCRIPT,IT,BMP,,0
62,"JAVA,JULIA",CS,BM,"WEB DEVELOPER,WEB DEVELOPER",0
63,"C/C++,HTML",CS,B,"PYTHON DEVELOPER,FULL STACK DEVELOPER",1
64,SWIFT,CS,B,,0
65,COBOL,CS,BMP,"MERN STACK DEVELOPER,FRONTEND DEVELOPER",1
66,"OBJECTIVE-C,SQL,C#",CS,DBMP,"PYTHON DEVELOPER,PRODUCT MANAGER",0
67,FORTRAN,CS,DBM,WEB DEVELOPER,1
68,COBOL,CS,DBM,"RUBY ON RAILS DEVELOPER,WEB DEVELOPER",0
69,PYTHON,CS,DBM,BACKEND DEVELOPER,0
70,DART,CS,BMP,"JAVASCRIPT DEVELOPER,MEAN STACK DEVELOPER",1
71,"JULIA,PERL,C#",CS,DBM,REACTJS DEVELOPER,1
72,"OBJECTIVE-C,C#",CS,B,,0
73,"JULIA,KOTLIN",CS,DB,DATA ANALYST,0
74,OBJECTIVE-C,IT,BMP,BACKEND DEVELOPER,1
75,FORTRAN,IT,DBMP,RUBY ON RAILS DEVELOPER,1
76,"RUST,PERL,KOTLIN",CS,DBM,"FULL STACK DEVELOPER,RUBY ON RAILS DEVELOPER",0
77,"CSS,HTML,PERL",IT,B,,0
78,"JAVA,JAVASCRIPT,COBOL",IT,DBM,REACTJS DEVELOPER,0
79,"C#,JAVASCRIPT,RUST",IT,DBMP,,0
80,"PYTHON,PERL,FORTRAN",CS,DB,PYTHON DEVELOPER,0
81,JAVASCRIPT,IT,BMP,,0
82,JULIA,IT,B,FRONTEND DEVELOPER,0
83,"PERL,OBJECTIVE-C",IT,BM,BACKEND DEVELOPER,0
84,FORTRAN,IT,DBM,"DATA SCIENTIST,REACTJS DEVELOPER",1
85,"RUBY,JAVASCRIPT",IT,BM,,0
86,"RUST,PYTHON,SWIFT",IT,BM,PRODUCT MANAGER,1
87,"SWIFT,JULIA",IT,DB,FULL STACK DEVELOPER,0
88,"JAVASCRIPT,FORTRAN,R",CS,DBMP,"DATA SCIENTIST,DATA SCIENTIST",1
89,"OBJECTIVE-C,JAVASCRIPT,DART",IT,DBM,,1
90,PERL,IT,DBMP,PYTHON DEVELOPER,1
91,"CSS,KOTLIN",IT,DB,,0
92,"HTML,RUST,JAVA",IT,BMP,DATA ANALYST,0
93,R,CS,DB,PRODUCT MANAGER,1
94,"COBOL,PHP",CS,DBM,FULL STACK DEVELOPER,1
95,DART,CS,B,"DATA SCIENTIST,REACTJS DEVELOPER",1
96,RUST,CS,BMP,"MEAN STACK DEVELOPER,MEAN STACK DEVELOPER",1
97,"COBOL,SQL",CS,BMP,,0
98,DART,CS,DBMP,,0
99,HTML,IT,DBMP,"PRODUCT MANAGER,JAVASCRIPT DEVELOPER",0
100,R,IT,B,,1
101,"DART,OBJECTIVE-C,JAVASCRIPT",CS,DB,"DATA ANALYST,PYTHON DEVELOPER",0
102,"C#,HTML",IT,DBMP,REACTJS DEVELOPER,1
103,"JULIA,JAVA",CS,B,DATA ANALYST,1
104,"HTML,COBOL,PHP",IT,B,,1
105,DART,IT,BMP,RUBY ON RAILS DEVELOPER,1
106,HTML,IT,BM,REACTJS DEVELOPER,0
107,JAVASCRIPT,CS,B,FRONTEND DEVELOPER,0
108,"RUBY,C#,JAVA",CS,DBM,DATA SCIENTIST,0
109,SQL,IT,DB,"DATA ANALYST,DATA ANALYST",1
110,"PERL,SQL,DART",CS,B,,1
111,"JAVA,HTML,RUBY",CS,DBMP,,1
112,C/C++,CS,BMP,"BACKEND DEVELOPER,RUBY ON RAILS DEVELOPER",1
113,PERL,CS,BM,"PRODUCT MANAGER,DATA ANALYST",1
114,SWIFT,IT,DBM,"WEB DEVELOPER,REACTJS DEVELOPER",0
115,"JAVA,PERL,C#",CS,DBM,,1
116,"SWIFT,PERL",IT,DB,"MERN STACK DEVELOPER,MEAN STACK DEVELOPER",0
117,JAVA,IT,DBM,"JAVASCRIPT DEVELOPER,JAVASCRIPT DEVELOPER",0
118,"PYTHON,JAVA",IT,DBMP,PYTHON DEVELOPER,1
119,"PERL,SWIFT,FORTRAN",CS,DBMP,JAVASCRIPT DEVELOPER,1
120,"OBJECTIVE-C,HTML",IT,B,RUBY ON RAILS DEVELOPER,1
121,C#,CS,B,,1
122,JAVASCRIPT,CS,DB,,0
123,"SWIFT,JULIA",CS,DB,DATA ANALYST,1
124,"RUBY,PERL",CS,DBMP,"PRODUCT MANAGER,DATA SCIENTIST",1
125,"DART,COBOL,SWIFT",CS,DBMP,,1
126,"CSS,PHP,JULIA",CS,B,MERN STACK DEVELOPER,1
127,"HTML,PHP",CS,B,"FRONTEND DEVELOPER,PRODUCT MANAGER",0
128,C#,IT,BMP,,0
129,HTML,IT,BM,DATA SCIENTIST,0
130,"SQL,JULIA",CS,DBMP,"REACTJS DEVELOPER,WEB DEVELOPER",1
131,"C#,PHP,RUST",CS,BMP,"BACKEND DEVELOPER,WEB DEVELOPER",1
132,R,CS,BMP,,0
133,PERL,CS,BM,,1
134,C/C++,CS,DB,"WEB DEVELOPER,JAVASCRIPT DEVELOPER",1
135,"JAVASCRIPT,C/C++,OBJECTIVE-C",IT,BM,,0
136,"KOTLIN,R",CS,BM,,0
137,"C/C++,DART,CSS",CS,B,"REACTJS DEVELOPER,JAVASCRIPT DEVELOPER",0
138,"PYTHON,SQL",CS,BM,,1
139,"RUST,PERL",CS,BMP,,1
140,"OBJECTIVE-C,RUBY",IT,BMP,FULL STACK DEVELOPER,1
141,"SQL,KOTLIN,CSS",IT,DBM,DATA ANALYST,1
142,"SQL,SWIFT",IT,B,BACKEND DEVELOPER,0
143,"JAVASCRIPT,PYTHON,JULIA",IT,BM,DATA ANALYST,0
144,"JULIA,PERL",CS,DBMP,FULL STACK DEVELOPER,1
145,KOTLIN,CS,BMP,BACKEND DEVELOPER,1
146,"PERL,JAVA",CS,BM,PRODUCT MANAGER,1
147,"R,RUST",IT,DB,DATA SCIENTIST,1
148,"PERL,RUBY,OBJECTIVE-C",CS,BMP,,1
149,"FORTRAN,OBJECTIVE-C,PHP",CS,B,WEB DEVELOPER,0
150,"JAVASCRIPT,OBJECTIVE-C,PHP",IT,B,,1
151,"PYTHON,RUST",IT,DBM,BACKEND DEVELOPER,0
152,"PERL,SWIFT",CS,BMP,DATA SCIENTIST,0
153,"JAVASCRIPT,COBOL,C/C++",CS,B,,0
154,R,IT,DBMP,,1
155,"JAVASCRIPT,RUST",IT,BM,REACTJS DEVELOPER,0
156,"JAVA,PERL",CS,B,RUBY ON RAILS DEVELOPER,0
157,"SQL,RUBY,DART",CS,BMP,"FULL STACK DEVELOPER,DATA SCIENTIST",1
158,"RUST,DART,C#",CS,DBM,REACTJS DEVELOPER,1
159,PHP,IT,DB,RUBY ON RAILS DEVELOPER,1
160,"OBJECTIVE-C,RUST,CSS",IT,DB,"FRONTEND DEVELOPER,REACTJS DEVELOPER",1
161,"DART,COBOL,OBJECTIVE-C",IT,DBM,RUBY ON RAILS DEVELOPER,1
162,"C/C++,HTML,PYTHON",CS,DBMP,,1
163,"C#,SQL,JAVASCRIPT",IT,B,MEAN STACK DEVELOPER,1
164,"C#,JAVASCRIPT,PYTHON",IT,BMP,"BACKEND DEVELOPER,FRONTEND DEVELOPER",1
165,"JAVASCRIPT,RUBY",IT,DBM,"PYTHON DEVELOPER,MEAN STACK DEVELOPER",1
166,"JAVA,FORTRAN",IT,B,,0
167,"COBOL,FORTRAN",IT,DBMP,,0
168,FORTRAN,IT,DBMP,,0
169,C#,CS,DB,"FULL STACK DEVELOPER,REACTJS DEVELOPER",1
170,"R,PYTHON",CS,B,JAVASCRIPT DEVELOPER,0
171,DART,CS,B,,1
172,SWIFT,IT,DBMP,,0
173,"JULIA,DART,PERL",IT,DBMP,,0
174,"RUBY,R",CS,DB,"FULL STACK DEVELOPER,JAVASCRIPT DEVELOPER",0
175,"R,PYTHON",CS,BMP,FULL STACK DEVELOPER,1
176,FORTRAN,CS,DBMP,,1
177,PHP,CS,BMP,"BACKEND DEVELOPER,DATA ANALYST",0
178,"C#,PYTHON",CS,DBMP,MERN STACK DEVELOPER,0
179,PERL,IT,B,FRONTEND DEVELOPER,0
180,"JULIA,PYTHON",CS,B,FULL STACK DEVELOPER,1
181,JULIA,IT,BMP,,1
182,SWIFT,CS,BMP,"DATA SCIENTIST,RUBY ON RAILS DEVELOPER",1
183,"C#,R,PYTHON",CS,DB,"MEAN STACK DEVELOPER,JAVASCRIPT DEVELOPER",1
184,"HTML,RUST,KOTLIN",IT,DBM,"FRONTEND DEVELOPER,DATA ANALYST",0
185,C#,IT,DBM,,1
186,"C#,R,PHP",IT,DBM,BACKEND DEVELOPER,1
187,"HTML,RUST,R",IT,BMP,"PYTHON DEVELOPER,PRODUCT MANAGER",0
188,"JULIA,COBOL,DART",IT,BMP,"BACKEND DEVELOPER,FRONTEND DEVELOPER",1
189,C/C++,CS,B,"RUBY ON RAILS DEVELOPER,PYTHON DEVELOPER",0
190,"C#,KOTLIN,PYTHON",IT,BM,,0
191,"KOTLIN,COBOL",IT,B,"RUBY ON RAILS DEVELOPER,PRODUCT MANAGER",1
192,OBJECTIVE-C,IT,DBM,"MEAN STACK DEVELOPER,JAVASCRIPT DEVELOPER",0
193,OBJECTIVE-C,CS,DBM,DATA ANALYST,1
194,JULIA,CS,B,MEAN STACK DEVELOPER,1
195,PHP,CS,DB,"JAVASCRIPT DEVELOPER,DATA SCIENTIST",0
196,"R,OBJECTIVE-C,SQL",CS,BMP,"PYTHON DEVELOPER,RUBY ON RAILS DEVELOPER",1
197,"SQL,PYTHON,RUBY",IT,BMP,"BACKEND DEVELOPER,PRODUCT MANAGER",0
198,"C/C++,FORTRAN,R",CS,DB,REACTJS DEVELOPER,1
199,FORTRAN,CS,DBM,JAVASCRIPT DEVELOPER,0
200,"RUBY,KOTLIN",CS,BMP,REACTJS DEVELOPER,0
201,PHP,CS,B,"REACTJS DEVELOPER,DATA ANALYST",1
202,"CSS,PHP",IT,BM,,0
203,"PYTHON,C/C++",IT,BM,,1
204,"JAVASCRIPT,COBOL",IT,BMP,,0
205,"R,PERL",IT,DBMP,"JAVASCRIPT DEVELOPER,REACTJS DEVELOPER",0
206,"PHP,JAVASCRIPT,SWIFT",CS,BMP,DATA SCIENTIST,1
207,"C/C++,HTML,RUBY",IT,BMP,"DATA SCIENTIST,BACKEND DEVELOPER",0
208,HTML,CS,BMP,"PRODUCT MANAGER,MERN STACK DEVELOPER",1
209,"HTML,PERL,RUST",IT,DBM,"PRODUCT MANAGER,PRODUCT MANAGER",1
210,"COBOL,FORTRAN",IT,BMP,PYTHON DEVELOPER,1
211,"R,SQL,PHP",IT,BMP,DATA ANALYST,1
212,"C#,COBOL",IT,DBMP,DATA SCIENTIST,0
213,"PERL,HTML,RUBY",CS,DB,,0
214,"OBJECTIVE-C,RUBY,KOTLIN",IT,DBMP,JAVASCRIPT DEVELOPER,0
215,FORTRAN,CS,BMP,,1
216,FORTRAN,IT,DBMP,,1
217,HTML,CS,BMP,"DATA ANALYST,WEB DEVELOPER",0
218,C/C++,IT,B,"FULL STACK DEVELOPER,REACTJS DEVELOPER",0
219,DART,CS,B,BACKEND DEVELOPER,0
220,PERL,IT,DBM,WEB DEVELOPER,0
221,C#,IT,DBM,,1
222,"PYTHON,CSS",CS,DBMP,,0
223,"C#,HTML,KOTLIN",CS,B,,0
224,OBJECTIVE-C,CS,DBMP,"REACTJS DEVELOPER,MERN STACK DEVELOPER",1
225,"JAVA,FORTRAN",CS,DBMP,,0
226,C/C++,CS,B,BACKEND DEVELOPER,1
227,"DART,JAVASCRIPT,OBJECTIVE-C",CS,DBM,"BACKEND DEVELOPER,RUBY ON RAILS DEVELOPER",0
228,"PHP,JAVA,DART",CS,B,REACTJS DEVELOPER,1
229,JULIA,CS,BM,MERN STACK DEVELOPER,1
230,"FORTRAN,SWIFT",IT,BMP,MERN STACK DEVELOPER,1
231,"PYTHON,JAVA,FORTRAN",CS,B,"FULL STACK DEVELOPER,REACTJS DEVELOPER",0
232,"RUST,PYTHON,OBJECTIVE-C",IT,DB,"RUBY ON RAILS DEVELOPER,REACTJS DEVELOPER",0
233,COBOL,CS,BM,DATA ANALYST,1
234,C#,IT,BMP,"RUBY ON RAILS DEVELOPER,JAVASCRIPT DEVELOPER",1
235,"HTML,CSS,SWIFT",IT,BM,REACTJS DEVELOPER,1
236,"OBJECTIVE-C,PHP,KOTLIN",IT,BMP,JAVASCRIPT DEVELOPER,0
237,"C/C++,RUBY,DART",IT,DBM,"FRONTEND DEVELOPER,FULL STACK DEVELOPER",0
238,COBOL,CS,BMP,"REACTJS DEVELOPER,MERN STACK DEVELOPER",1
239,"JULIA,HTML,KOTLIN",IT,DBMP,"BACKEND DEVELOPER,RUBY ON RAILS DEVELOPER",1
240,"JULIA,KOTLIN,RUST",CS,BM,"JAVASCRIPT DEVELOPER,REACTJS DEVELOPER",1
241,"RUBY,RUST,C/C++",IT,B,,1
242,"DART,OBJECTIVE-C,RUBY",IT,DBM,FRONTEND DEVELOPER,0
243,"PERL,R,C#",CS,BMP,DATA SCIENTIST,0
244,PERL,IT,B,,1
245,"C/C++,RUBY",CS,B,,1
246,R,IT,DBM,"DATA ANALYST,PYTHON DEVELOPER",0
247,C/C++,CS,BMP,DATA SCIENTIST,1
248,COBOL,CS,DBM,"DATA ANALYST,BACKEND DEVELOPER",1
249,"RUBY,C#,C/C++",IT,DBMP,JAVASCRIPT DEVELOPER,1
250,SQL,IT,DBM,,1
251,"SQL,KOTLIN",IT,BM,BACKEND DEVELOPER,0
252,C/C++,CS,DB,,1
253,KOTLIN,IT,DBMP,,0
254,"HTML,PYTHON",CS,DBM,FRONTEND DEVELOPER,1
255,"R,FORTRAN,HTML",IT,B,,1
256,"DART,SQL,PHP",CS,BM,,1
257,"PYTHON,R",IT,DBMP,,0
258,"OBJECTIVE-C,PERL,PHP",IT,DBM,DATA SCIENTIST,1
259,"DART,RUST",CS,DB,"JAVASCRIPT DEVELOPER,RUBY ON RAILS DEVELOPER",1
260,"CSS,R",IT,DBMP,"FRONTEND DEVELOPER,FRONTEND DEVELOPER",1
261,"RUBY,DART",CS,DBMP,RUBY ON RAILS DEVELOPER,1
262,"R,PERL",CS,DB,"DATA SCIENTIST,PRODUCT MANAGER",1
263,"JULIA,PYTHON",CS,BM,RUBY ON RAILS DEVELOPER,0
264,"SWIFT,OBJECTIVE-C",CS,DBM,"RUBY ON RAILS DEVELOPER,MEAN STACK DEVELOPER",1
265,"COBOL,R",CS,DBM,"FULL STACK DEVELOPER,FULL STACK DEVELOPER",1
266,KOTLIN,CS,BM,,0
267,"COBOL,PERL,RUST",CS,DB,,1
268,"PHP,JAVASCRIPT,HTML",IT,BMP,,0
269,"C/C++,PYTHON,KOTLIN",IT,B,PYTHON DEVELOPER,1
270,JAVA,IT,DB,"DATA ANALYST,FRONTEND DEVELOPER",1
271,"C/C++,JULIA,FORTRAN",IT,DBMP,,0
272,"PHP,C/C++",IT,BM,WEB DEVELOPER,1
273,C/C++,CS,BM,"WEB DEVELOPER,FRONTEND DEVELOPER",0
274,"PYTHON,C#",CS,DBM,,1
275,"PYTHON,JAVASCRIPT,SQL",IT,DBMP,,1
276,"JAVASCRIPT,C/C++,KOTLIN",CS,DBMP,"RUBY ON RAILS DEVELOPER,FULL STACK DEVELOPER",1
277,FORTRAN,CS,DB,WEB DEVELOPER,1
278,"KOTLIN,SQL",CS,BMP,DATA SCIENTIST,0
279,PHP,IT,DBM,DATA SCIENTIST,0
280,RUST,CS,DBM,RUBY ON RAILS DEVELOPER,0
281,"RUBY,C#,FORTRAN",CS,B,FRONTEND DEVELOPER,0
282,"CSS,PERL,PHP",CS,B,"MEAN STACK DEVELOPER,FULL STACK DEVELOPER",0
283,SQL,CS,DBM,,1
284,"SQL,COBOL,R",IT,DBMP,RUBY ON RAILS DEVELOPER,0
285,CSS,IT,B,,0
286,"JAVASCRIPT,HTML",IT,BM,"PRODUCT MANAGER,DATA SCIENTIST",1
287,JAVA,IT,BM,MERN STACK DEVELOPER,1
288,"FORTRAN,DART",CS,BM,,1
289,"HTML,PHP,JAVA",IT,BMP,,1
290,"OBJECTIVE-C,COBOL,SWIFT",CS,DBMP,,0
291,"C#,PYTHON",CS,DBM,"REACTJS DEVELOPER,REACTJS DEVELOPER",1
292,JAVA,CS,B,"DATA ANALYST,MEAN STACK DEVELOPER",0
293,"RUBY,PYTHON",CS,B,,0
294,"SWIFT,OBJECTIVE-C,SQL",IT,BMP,"WEB DEVELOPER,DATA ANALYST",0
295,RUBY,IT,B,"PRODUCT MANAGER,FULL STACK DEVELOPER",0
296,C/C++,CS,DBMP,"MERN STACK DEVELOPER,DATA ANALYST",1
297,JAVASCRIPT,CS,DBM,,1
298,"JAVA,C/C++,PHP",CS,BMP,"JAVASCRIPT DEVELOPER,WEB DEVELOPER",1
299,"RUST,RUBY",IT,B,"FULL STACK DEVELOPER,FRONTEND DEVELOPER",1
300,"JAVASCRIPT,OBJECTIVE-C,SWIFT",IT,BM,,0
301,"KOTLIN,JAVA,JULIA",CS,DBM,,1
302,SQL,IT,BMP,JAVASCRIPT DEVELOPER,1
303,OBJECTIVE-C,IT,DBMP,"RUBY ON RAILS DEVELOPER,PRODUCT MANAGER",1
304,SWIFT,CS,DBMP,"MERN STACK DEVELOPER,WEB DEVELOPER",1
305,"PERL,SWIFT",IT,DBM,MEAN STACK DEVELOPER,0
306,"RUST,DART,PERL",IT,DBM,"FULL STACK DEVELOPER,RUBY ON RAILS DEVELOPER",0
307,C/C++,IT,B,"MEAN STACK DEVELOPER,FRONTEND DEVELOPER",0
308,"SQL,RUST,PHP",CS,DBM,,1
309,"C/C++,KOTLIN,RUST",CS,B,,0
310,"DART,C/C++",CS,BM,"RUBY ON RAILS DEVELOPER,DATA ANALYST",0
311,"KOTLIN,R,HTML",IT,DBM,BACKEND DEVELOPER,0
312,"JAVA,JULIA",IT,DBM,,0
313,"JULIA,FORTRAN,C#",IT,BM,,0
314,"CSS,SWIFT,JAVASCRIPT",CS,BMP,PRODUCT MANAGER,1
315,"HTML,JAVA",IT,DBMP,"PYTHON DEVELOPER,WEB DEVELOPER",1
316,"SWIFT,RUBY",CS,B,"PRODUCT MANAGER,MEAN STACK DEVELOPER",1
317,"HTML,COBOL,PYTHON",CS,BMP,,0
318,"C/C++,JAVA",CS,DB,,1
319,CSS,IT,DBM,"JAVASCRIPT DEVELOPER,REACTJS DEVELOPER",0
320,FORTRAN,CS,DB,,0
321,RUBY,IT,DBM,PRODUCT MANAGER,1
322,"RUBY,PHP,JAVA",CS,BM,WEB DEVELOPER,0
323,"PHP,JAVASCRIPT",IT,DBM,"FRONTEND DEVELOPER,DATA ANALYST",0
324,"JAVA,JULIA,FORTRAN",CS,DBM,,1
325,"FORTRAN,COBOL,JAVA",IT,DBMP,REACTJS DEVELOPER,0
326,"KOTLIN,JULIA",CS,DBMP,,1
327,"RUST,DART",CS,DBM,,1
328,"C#,PHP,RUBY",IT,BMP,,0
329,SQL,CS,B,PRODUCT MANAGER,0
330,PHP,IT,DBMP,WEB DEVELOPER,1
331,"DART,JAVASCRIPT",IT,DBMP,PYTHON DEVELOPER,1
332,"RUBY,PYTHON,COBOL",CS,DBMP,MEAN STACK DEVELOPER,0
333,"RUST,C/C++",CS,BM,,1
334,"JAVA,DART,OBJECTIVE-C",IT,DBM,JAVASCRIPT DEVELOPER,1
335,C/C++,CS,BMP,,1
336,JULIA,IT,DB,"MERN STACK DEVELOPER,WEB DEVELOPER",1
337,"PHP,RUBY",IT,DBM,"FRONTEND DEVELOPER,FULL STACK DEVELOPER",0
338,R,IT,DBMP,,1
339,"OBJECTIVE-C,JAVA,RUBY",IT,B,,1
340,"RUST,OBJECTIVE-C,JAVASCRIPT",CS,DB,"WEB DEVELOPER,FULL STACK DEVELOPER",0
341,"RUBY,PYTHON,JAVA",IT,DBM,,0
342,"SWIFT,PHP,JULIA",CS,DBMP,DATA ANALYST,0
343,DART,IT,DBM,"DATA ANALYST,MERN STACK DEVELOPER",1
344,"HTML,SWIFT,JULIA",CS,DB,,0
345,"PYTHON,FORTRAN,RUST",IT,DBMP,"DATA SCIENTIST,MEAN STACK DEVELOPER",1
346,SQL,IT,BM,REACTJS DEVELOPER,1
347,"SQL,RUBY,KOTLIN",IT,BM,,1
348,"JAVASCRIPT,PYTHON,FORTRAN",IT,DB,"RUBY ON RAILS DEVELOPER,DATA ANALYST",1
349,JAVASCRIPT,IT,BMP,,0
350,"KOTLIN,JAVASCRIPT,PERL",IT,DBMP,PYTHON DEVELOPER,0
351,"COBOL,CSS,HTML",IT,B,"FRONTEND DEVELOPER,MEAN STACK DEVELOPER",0
352,OBJECTIVE-C,IT,BM,DATA ANALYST,0
353,"PERL,HTML",CS,DB,"FRONTEND DEVELOPER,PYTHON DEVELOPER",0
354,"CSS,HTML,R",CS,DBM,,0
355,"JAVASCRIPT,C#,C/C++",CS,B,,1
356,PHP,IT,B,,1
357,"COBOL,KOTLIN",CS,BM,"JAVASCRIPT DEVELOPER,REACTJS DEVELOPER",1
358,"SWIFT,PHP,SQL",CS,DBMP,FRONTEND DEVELOPER,0
359,RUST,CS,B,DATA SCIENTIST,1
360,DART,CS,DBM,MEAN STACK DEVELOPER,1
361,"SQL,C#",CS,DBM,"REACTJS DEVELOPER,DATA ANALYST",0
362,"RUST,SWIFT,FORTRAN",CS,BMP,"JAVASCRIPT DEVELOPER,DATA ANALYST",1
363,"JAVASCRIPT,SQL",CS,DBMP,JAVASCRIPT DEVELOPER,0
364,"HTML,RUST,COBOL",IT,BM,,0
365,SQL,IT,BMP,,1
366,C#,CS,DBM,,0
367,SQL,CS,BM,"RUBY ON RAILS DEVELOPER,DATA ANALYST",1
368,"HTML,COBOL",IT,DBM,,1
369,"RUST,KOTLIN,PYTHON",CS,B,DATA ANALYST,0
370,"SQL,JULIA",IT,BM,DATA ANALYST,1
371,"PYTHON,HTML",CS,DB,"PRODUCT MANAGER,PRODUCT MANAGER",1
372,JULIA,IT,BM,,0
373,"FORTRAN,DART,SQL",IT,DBMP,,0
374,"FORTRAN,JULIA,JAVASCRIPT",CS,DB,FULL STACK DEVELOPER,1
375,"RUST,CSS,JAVASCRIPT",IT,BM,,0
376,"JULIA,PHP",IT,BM,"MERN STACK DEVELOPER,MERN STACK DEVELOPER",1
377,"SQL,C#",CS,B,,1
378,"SWIFT,RUST,R",CS,DBMP,,0
379,"C#,JULIA,PHP",IT,B,DATA SCIENTIST,1
380,"RUBY,C#,PHP",IT,DBMP,"WEB DEVELOPER,FRONTEND DEVELOPER",1
381,PERL,CS,BM,"WEB DEVELOPER,WEB DEVELOPER",1
382,"PYTHON,PERL",CS,DB,"BACKEND DEVELOPER,RUBY ON RAILS DEVELOPER",1
383,C/C++,IT,DB,MERN STACK DEVELOPER,0
384,"PYTHON,C#",IT,DB,WEB DEVELOPER,0
385,"SQL,C/C++,HTML",CS,DBMP,DATA SCIENTIST,1
386,"DART,HTML,SWIFT",CS,DBM,,1
387,"JAVA,FORTRAN",CS,B,RUBY ON RAILS DEVELOPER,0
388,C/C++,IT,BMP,,0
389,"JAVA,CSS",CS,DBMP,"FRONTEND DEVELOPER,FULL STACK DEVELOPER",1
390,"PYTHON,OBJECTIVE-C,PERL",IT,BM,DATA SCIENTIST,0
391,"HTML,JAVASCRIPT,R",CS,BMP,FULL STACK DEVELOPER,1
392,"PERL,SWIFT,OBJECTIVE-C",CS,DBM,,0
393,"C/C++,PYTHON",CS,DBM,"FRONTEND DEVELOPER,DATA ANALYST",0
